,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCELEROMETER X (m/s?ý),ACCELEROMETER Y (m/s?ý),,,GRAVITY Y (m/s?ý),,LINEAR ACCELERATION X (m/s?ý),LINEAR ACCELERATION Y (m/s?ý),,,,,LIGHT (lux),MAGNETIC FIELD X (?¬T),,,,ORIENTATION X (pitch ?ø),ORIENTATION Y (roll ?ø),,ATMOSPHERIC PRESSURE (hPa),,,,,,,,,,,Time since start in ms 
0.0445,3.9754,,,2.5659,,0.8052,-1.2746,,,,,24.023,14.99,,,,-19.51,-9.49,,999.81,,,,,,,,,,,6
-0.3191,7.4781,,,6.5493,,-0.8104,-1.113,,,,,28.472,20.93,,,,-41.88,5.05,,999.8,,,,,,,,,,,506
0.6578,8.1561,,,6.6247,,-1.1881,-2.4051,,,,,21.354,13.95,,,,-43.54,-3.94,,999.79,,,,,,,,,,,1006
-0.7464,6.9516,,,6.0159,,0.423,-0.8579,,,,,21.354,22.19,,,,-38.86,0.9,,999.79,,,,,,,,,,,1506
-0.7508,6.0088,,,4.5601,,0.9987,-1.2167,,,,,21.354,18.6,,,,-30.24,-1.05,,999.8,,,,,,,,,,,2006
-1.2243,4.3656,,,4.1853,,-1.1838,-1.2467,,,,,24.913,25.86,,,,-25.62,3.3,,999.78,,,,,,,,,,,2506
-1.8687,6.2684,,,7.3632,,0.857,1.182,,,,,32.921,18.79,,,,-39.78,14.2,,999.73,,,,,,,,,,,3006
22.0487,-1.8907,,,-4.5341,,-13.1496,1.8568,,,,,32.921,-66.86,,,,-34.75,-95.66,,999.68,,,,,,,,,,,3506
13.0007,-1.9805,,,-2.0727,,-2.1092,0.401,,,,,38.259,-59.28,,,,14.53,-81.2,,999.73,,,,,,,,,,,4006
10.7083,-0.0652,,,0.124,,-5.0127,-3.8089,,,,,25.803,-69.18,,,,-0.72,-68.77,,999.74,,,,,,,,,,,4506
5.5001,2.5528,,,0.113,,3.1155,-2.9956,,,,,25.803,-67.02,,,,0.95,-88.26,,999.71,,,,,,,,,,,5006
8.7562,-9.2811,,,-2.1277,,-2.142,4.0437,,,,,1.78,-47.72,,,,12.53,-99.61,,999.67,,,,,,,,,,,5506
2.8892,-8.8593,,,-7.6157,,5.7377,-1.307,,,,,0.001,-23.92,,,,39.48,-81.44,,999.75,,,,,,,,,,,6008
4.0589,-4.5838,,,-6.5635,,3.5169,-3.1118,,,,,0.001,-26.43,,,,46.18,-110.56,,1000.15,,,,,,,,,,,6507
0.3552,-12.2965,,,-9.562,,-7.3123,4.317,,,,,0.001,14.64,,,,77.09,47.75,,999.99,,,,,,,,,,,7007
2.2907,-15.5653,,,-9.2754,,-13.4792,27.7881,,,,,0.001,-8.64,,,,62.97,-163.28,,1000.03,,,,,,,,,,,7507
