sep=;
ACCELEROMETER X (m/sÂ²);ACCELEROMETER Y (m/sÂ²);ACCELEROMETER Z (m/sÂ²);GRAVITY X (m/sÂ²);GRAVITY Y (m/sÂ²);GRAVITY Z (m/sÂ²);LINEAR ACCELERATION X (m/sÂ²);LINEAR ACCELERATION Y (m/sÂ²);LINEAR ACCELERATION Z (m/sÂ²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (Î¼T);MAGNETIC FIELD Y (Î¼T);MAGNETIC FIELD Z (Î¼T);ORIENTATION Z (azimuth Â°);ORIENTATION X (pitch Â°);ORIENTATION Y (roll Â°);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (Â°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.0445;3.9754;9.6474;0.8155;2.5659;9.4333;0.8052;-1.2746;-0.4274;-0.5179;0.8713;0.5034;24.023;14.99;7.71;-50.37;315.68;-19.51;-9.49;2.0;999.81;43.497;35.77282;-78.67794;263.23;340.2156534042669;;;71.34516;;0 / 18;6;2018-03-09 12:03:40:698
-0.3191;7.4781;6.7938;-0.6434;6.5493;7.2752;-0.8104;-1.113;1.3679;1.1473;0.1289;0.8867;28.472;20.93;-24.53;-26.07;269.73;-41.88;5.05;2.0;999.8;41.641;35.77282;-78.67794;263.23;340.2156534042669;;;71.34516;;0 / 18;506;2018-03-09 12:03:41:198
0.6578;8.1561;6.659;0.7068;6.6247;7.2007;-1.1881;-2.4051;1.1053;-0.0579;-0.0994;0.1066;21.354;13.95;-26.37;-30.48;273.7;-43.54;-3.94;2.0;999.79;42.677;35.77282;-78.67794;263.23;340.2156534042669;;;71.34516;;0 / 18;1006;2018-03-09 12:03:41:698
-0.7464;6.9516;6.3834;-0.4081;6.0159;7.7381;0.423;-0.8579;1.5098;-0.2174;-0.1638;-0.2363;21.354;22.19;-18.78;-31.94;282.94;-38.86;0.9;2.0;999.79;56.149;35.77282;-78.67794;263.23;340.2156534042669;;;71.34516;;0 / 18;1506;2018-03-09 12:03:42:198
-0.7508;6.0088;7.7582;0.5352;4.5601;8.6692;0.9987;-1.2167;0.95;-0.5178;-0.3119;-0.0083;21.354;18.6;-9.43;-44.08;305.65;-30.24;-1.05;2.0;999.8;54.941;35.77282;-78.67794;263.23;340.2156534042669;;;71.34516;;0 / 18;2006;2018-03-09 12:03:42:698
-1.2243;4.3656;7.6946;-1.5553;4.1853;8.735;-1.1838;-1.2467;0.6066;-0.0901;0.7739;-0.1543;24.913;25.86;-6.02;-39.48;306.49;-25.62;3.3;2.0;999.78;53.212;35.77282;-78.67794;263.23;340.2156534042669;;;71.34516;;0 / 18;2506;2018-03-09 12:03:43:198
-1.8687;6.2684;5.593;-0.8109;7.3632;6.4313;0.857;1.182;1.3985;1.5572;-2.118;-0.3149;32.921;18.79;-21.49;-27.77;302.35;-39.78;14.2;2.0;999.73;41.941;35.77282;-78.67794;263.23;340.2156534042669;;;71.34516;;0 / 18;3006;2018-03-09 12:03:43:698
22.0487;-1.8907;9.0642;8.693;-4.5341;-0.331;-13.1496;1.8568;-8.5552;-2.3746;0.2085;3.0612;32.921;-66.86;34.87;-16.48;327.18;-34.75;-95.66;2.0;999.68;41.304;35.77282;-78.67794;263.23;340.2156534042669;;;71.34516;;0 / 18;3506;2018-03-09 12:03:44:198
13.0007;-1.9805;2.5543;9.296;-2.0727;2.3506;-2.1092;0.401;1.6508;0.581;0.5468;-0.0059;38.259;-59.28;51.16;-23.0;341.34;14.53;-81.2;2.0;999.73;43.055;35.77282;-78.67794;263.23;340.2156534042669;;;71.34516;;0 / 18;4006;2018-03-09 12:03:44:698
10.7083;-0.0652;5.4811;9.1434;0.124;3.5524;-5.0127;-3.8089;-6.9825;-0.0535;0.0374;-1.0453;25.803;-69.18;39.27;-15.25;15.43;-0.72;-68.77;2.0;999.74;42.921;35.77282;-78.67794;263.23;340.2156534042669;;;71.34516;;0 / 18;4506;2018-03-09 12:03:45:198
5.5001;2.5528;-0.7082;9.7641;0.113;-0.9415;3.1155;-2.9956;1.2252;-1.2741;-1.4846;-0.0892;25.803;-67.02;29.41;26.92;33.96;0.95;-88.26;0.0;999.71;48.034;35.77282;-78.67794;263.23;340.2156534042669;;;71.34516;;0 / 18;5006;2018-03-09 12:03:45:698
8.7562;-9.2811;3.7794;9.4422;-2.1277;-1.5979;-2.142;4.0437;-4.747;0.0237;1.6653;3.4588;1.78;-47.72;48.0;22.61;22.3;12.53;-99.61;0.0;999.67;51.774;35.77282;-78.67794;263.23;340.2156534042669;;;71.34516;;0 / 18;5506;2018-03-09 12:03:46:198
2.8892;-8.8593;1.3273;6.1735;-7.6157;0.3529;5.7377;-1.307;0.2636;-1.0469;-0.1698;1.8154;0.001;-23.92;59.53;17.79;34.68;39.48;-81.44;0.0;999.75;50.494;35.77282;-78.67794;263.23;340.2156534042669;;;71.34516;;0 / 18;6008;2018-03-09 12:03:46:700
4.0589;-4.5838;-2.9;6.8517;-6.5635;-2.4923;3.5169;-3.1118;-6.9551;0.9761;0.0819;-0.4109;0.001;-26.43;63.86;9.28;4.85;46.18;-110.56;0.0;1000.15;49.736;35.77282;-78.67794;263.23;340.2156534042669;;;71.34516;;0 / 18;6507;2018-03-09 12:03:47:199
0.3552;-12.2965;0.9864;-1.6225;-9.562;1.4739;-7.3123;4.317;2.876;-0.1603;1.0345;-0.427;0.001;14.64;68.87;-18.66;153.15;77.09;47.75;0.0;999.99;66.279;35.77282;-78.67794;263.23;340.2156534042669;;;71.34516;;0 / 18;7007;2018-03-09 12:03:47:699
2.2907;-15.5653;-11.0391;0.6669;-9.2754;-3.1237;-13.4792;27.7881;12.2325;0.0956;-0.6898;0.1558;0.001;-8.64;73.67;2.38;344.81;62.97;-163.28;0.0;1000.03;61.947;35.77282;-78.67794;263.23;340.2156534042669;;;71.34516;;0 / 18;7507;2018-03-09 12:03:48:199
1.5198;-13.76;0.2145;-2.1831;-9.4368;1.5544;-4.456;0.154;0.0703;0.6803;0.8325;0.8297;0.001;19.45;73.2;-9.08;195.76;83.88;47.42;0.0;999.89;60.104;35.77282;-78.67794;263.23;340.2156534042669;;;71.34516;;0 / 18;8008;2018-03-09 12:03:48:700
16.7499;-41.042;-12.8063;0.8404;-9.3296;-2.9133;-12.3046;22.7527;18.7335;2.4692;-0.4378;0.6967;0.001;-2.73;64.0;35.84;169.98;75.35;-166.88;0.0;999.82;61.2;35.77282;-78.67794;263.23;340.2156534042669;;;71.34516;;0 / 18;8506;2018-03-09 12:03:49:198
1.331;-10.9625;0.2505;-1.4821;-9.6217;1.2093;-4.2099;0.0636;0.1133;0.878;0.7013;1.2747;0.001;2.31;51.67;18.23;8.2;88.51;-8.74;0.0;999.8;60.268;35.77282;-78.67794;263.23;340.2156534042669;;;71.34516;;0 / 18;9006;2018-03-09 12:03:49:698
-2.854;-2.6763;1.7198;1.1501;-8.8905;-3.984;4.0098;-5.925;-4.9579;0.9352;-1.4998;-0.1467;0.001;3.29;49.63;11.16;131.99;80.23;175.19;0.0;999.73;57.277;35.77282;-78.67794;263.23;340.2156534042669;;;71.34516;;0 / 18;9507;2018-03-09 12:03:50:199
2.6054;-8.8569;2.3068;-0.7073;-9.7567;0.7373;-0.9884;-2.3474;-1.3006;0.8212;2.0898;0.8755;0.001;11.64;53.4;-13.92;10.27;87.06;-151.16;0.0;999.87;58.714;35.77282;-78.67794;263.23;340.2156534042669;;;71.34516;;0 / 18;10007;2018-03-09 12:03:50:699
